"gsp_id","basin_id"
"0007","5-022.07"
"0008","5-022.09"
"0009","5-022.04"
"0011","3-001"
"0012","5-022.05"
"0013","5-022.07"
"0014","5-022.07"
"0015","5-022.07"
"0016","4-004.02"
"0017","4-006"
"0018","4-008"
"0019","4-004.03"
"0020","5-022.07"
"0021","5-022.06"
"0022","5-022.08"
"0023","5-022.08"
"0024","5-022.08"
"0025","5-022.08"
"0026","5-022.08"
"0028","5-022.08"
"0029","3-004.01"
"0030","5-022.11"
"0031","5-022.08"
"0032","3-013"
"0035","3-004.06"
"0036","5-022.14"
"0037","5-022.14"
"0038","5-022.07"
"0042","5-022.12"
"0043","5-022.13"
"0044","5-022.14"
"0045","5-022.06"
"0047","5-022.01"
"0048","5-022.13"
"0049","5-022.06"
"0050","5-022.11"
"0051","5-022.14"
"0052","5-021.61"
"0053","5-021.60"
"0054","5-022.14"
"0056","5-022.13"
"0057","5-022.13"
"0058","5-022.11"
"0059","6-054"
"0061","5-022.06"
"0063","5-022.13"
"0065","5-022.13"
"0067","5-029"
"0070","1-010"
"0071","8-005"
"0072","4-004.06"
"0073","4-004.05"
"0074","3-027"
"0075","9-010"
"0076","9-007.01"
"0077","4-003.01"
"0078","3-015"
"0079","3-015"
"0080","3-015"
"0081","8-002.09"
"0082","5-006.04"
"0083","5-006.03"
"0084","1-052"
"0085","5-022.02"
"0086","5-021.57"
"0087","3-014"
"0088","1-003"
"0089","1-005"
"0090","1-004"
"0091","2-009.04"
"0092","5-021.52"
"0093","8-004.02"
"0094","5-021.51"
"0095","5-004"
"0096","5-021.67"
"0097","1-002.01"
"0098","5-021.70"
"0099","5-021.69"
"0100","5-021.64"
"0101","2-002.02"
"0103","6-012.01"
"0104","8-002.07"
"0105","3-003.05"
"0106","5-022.16"
"0110","5-022.03"
"0111","5-021.65"
"0112","5-021.62"
"0113","3-004.09"
"0114","3-004.02"
"0115","3-004.05"
"0116","3-004.04"
"0117","5-021.66"
"0118","3-009"
"0119","8-004.01"
"0120","5-022.19"
"0121","7-021.04"
"0122","5-022.15"
"0123","5-022.18"
"0124","2-002.01"
"0125","5-012.01"
"0127","5-015"
"0128","3-004.10"
"0129","4-011.01"
"0130","4-002"
"0131","4-004.07"
"0132","2-001"
"0133","3-004.11"
"0134","5-021.54"
"0136","1-055.01"
"0137","5-006.01"
"0138","8-009"
"0139","5-021.56"
"0140","5-021.50"
"0144","8-002.03"
"0145","5-022.10"
"0149","4-013"
"0150","5-022.14"
"0155","3-049"
"0156","4-007"
